AP,delta_50,delta_60,delta_70,delta_80,delta_90,delta_95
65,-0.1200000000000081,-0.005999999999996675,0.11800000000000566,0.18600000000000705,0.4450000000000003,1.1154999999999973
66,-0.14999999999999147,-0.01800000000001134,0.3309999999999995,0.19200000000000017,0.1459999999999937,0.10499999999999332
67,-0.32500000000000284,-0.10400000000000276,0.035000000000003695,-0.09199999999999875,-0.3930000000000007,-0.35049999999999315
68,-0.22999999999999332,-0.10200000000000031,0.06800000000000495,0.47800000000000153,0.4469999999999992,0.8164999999999978
69,-0.26500000000000057,-0.2859999999999978,-0.10100000000000264,0.0239999999999867,0.23799999999999955,0.25900000000000034
70,-0.12999999999999545,-0.1939999999999955,0.012000000000000455,-0.20999999999999375,0.052000000000003155,-0.45649999999999125
71,-0.32499999999999574,-0.10600000000000875,-0.4480000000000004,-0.12999999999999545,-0.47099999999999653,-3.627999999999979
72,-0.29499999999999815,-0.007999999999999119,-0.04500000000000526,0.12599999999999412,0.0710000000000015,-1.0530000000000044
73,-0.3900000000000041,-0.5520000000000032,-0.5180000000000007,-0.5739999999999981,-1.198999999999991,-2.2004999999999946
74,-0.4549999999999983,-0.38800000000000523,-0.21100000000000207,0.036000000000001364,-0.2069999999999972,-1.4284999999999926
75,-0.6799999999999926,-0.6260000000000012,-0.828000000000003,-0.7840000000000025,-0.8589999999999947,-1.9169999999999874
76,-0.5149999999999935,-0.3340000000000032,-0.3279999999999994,-0.6300000000000061,-0.6259999999999977,-1.6969999999999956
77,-0.2049999999999983,-0.24400000000000333,-0.19199999999999307,-0.23999999999999844,-0.4990000000000059,-2.4439999999999884
78,-0.6499999999999986,-0.2859999999999978,-0.23399999999999466,-0.30800000000000693,-0.7349999999999994,-15.87499999999995
79,0.030000000000001137,0.041999999999994486,-0.039999999999995595,-0.1059999999999981,-0.06800000000000139,-1.4334999999999916
80,0.19999999999999574,0.12399999999999878,-0.0589999999999975,0.11799999999999145,0.19599999999999795,-2.076999999999991
81,0.34999999999999787,0.4059999999999917,0.42199999999999704,0.347999999999999,0.25300000000000367,-0.1300000000000061
82,0.375,0.30799999999999983,0.3230000000000004,0.22600000000000264,-0.010000000000001563,-0.3249999999999922
83,0.399999999999995,0.40599999999999525,0.4699999999999953,0.5300000000000047,-0.13900000000000645,-4.164500000000011
84,0.17999999999999616,0.24800000000000466,0.46500000000000696,0.31599999999999895,0.1649999999999956,-0.13800000000000523
85,-0.18000000000000327,-0.04999999999999716,-0.15200000000000102,0.0519999999999996,-0.7319999999999993,-3.7844999999999978
86,-0.34500000000000597,-0.3279999999999994,-0.2940000000000005,-0.1580000000000048,0.11600000000000321,-3.544500000000003
87,-0.16999999999999815,-0.09400000000001185,0.15199999999999747,0.2240000000000073,0.05299999999999727,-2.2890000000000015
88,-0.3200000000000003,-0.2000000000000064,-0.07200000000000273,0.06999999999999318,0.39299999999999713,0.9254999999999995
89,-0.07000000000000028,0.13800000000000523,-0.30600000000000094,-0.16399999999999793,-0.3649999999999949,-1.3684999999999974
90,-0.10499999999999687,0.10800000000000409,0.060000000000002274,0.1059999999999981,-0.10000000000000497,-1.2310000000000123
91,-0.5150000000000006,-0.4740000000000073,-0.8100000000000023,-0.6020000000000039,-0.6810000000000045,-3.354499999999998
92,-0.16000000000000014,-0.3199999999999896,-0.19000000000000128,-0.0379999999999967,-0.2669999999999959,-0.9165000000000063
93,-0.16500000000000625,-0.31200000000000827,-0.08799999999999741,0.04199999999999804,0.17600000000000549,0.24550000000000338
94,0.09999999999999787,0.117999999999995,0.2170000000000023,0.1579999999999977,-0.1859999999999964,-1.0404999999999944
95,-0.06499999999999773,-0.07799999999999585,0.03900000000000148,-0.08200000000000784,-0.4120000000000026,-0.5485000000000007
96,-0.22999999999999687,0.0379999999999967,-0.05199999999999605,-0.027999999999998693,-0.1460000000000079,-0.6284999999999954
97,0.23499999999999943,0.21400000000000574,-0.07899999999999707,0.13800000000000523,0.12499999999998579,0.07749999999999346
98,0.00999999999999801,0.269999999999996,0.2220000000000084,0.21799999999999287,0.5400000000000063,-3.845999999999961
99,-0.1599999999999966,-0.16600000000000392,-0.16399999999999793,0.07399999999999451,0.1460000000000008,-0.4349999999999845
100,-0.2049999999999983,-0.31400000000000006,-0.28399999999999537,-0.1620000000000026,-0.36499999999999844,-1.6409999999999947
101,-0.22999999999999687,-0.10800000000000765,-0.062000000000001165,0.11600000000000321,0.29799999999999827,0.14150000000000063
102,-0.21000000000000085,-0.14199999999999946,-0.10000000000000142,0.08999999999999986,-0.3940000000000019,-2.461999999999989
103,0.2849999999999966,0.2099999999999973,0.008000000000002672,0.3659999999999961,0.20100000000000762,-0.007500000000000284
104,-0.045000000000001705,0.0040000000000048885,0.19000000000000838,0.08800000000000097,0.09500000000000597,0.08249999999999602
105,0.10000000000000142,0.04600000000000293,0.03300000000000125,0.3480000000000061,0.24900000000000233,0.41850000000000165
106,-0.355000000000004,-0.03599999999999781,-0.25800000000000267,-0.058000000000006935,0.23200000000000642,-0.05199999999999605
107,-0.050000000000007816,-0.06999999999999318,0.07599999999999696,0.11000000000000298,0.24199999999999733,-8.05949999999994
108,-0.020000000000003126,-0.04599999999998872,-0.11899999999999977,-0.03799999999999315,-0.07399999999999807,0.29299999999999216
